Country,Habitat,title,Quantity,Percentage
Belgium,urban,Clinical Data Coordinator,1,0.018%
Belgium,urban,Crime Data Specialist,1,0.018%
Belgium,urban,Data Administrator,2,0.035%
Belgium,urban,Data Architect,2,0.035%
Belgium,urban,Data Capture Specialist,1,0.018%
Belgium,urban,Data Collector,1,0.018%
Belgium,urban,Data Coordinator,1,0.018%
Belgium,urban,Data Entry Associate,1,0.018%
Belgium,urban,Data Management Associate,1,0.018%
Belgium,urban,Data Management Information Technology Specialist,1,0.018%
Belgium,urban,Data Miner,1,0.018%
Belgium,urban,Data Officer,2,0.035%
Belgium,urban,Data Processing Systems Analyst,2,0.035%
Belgium,urban,Data Processing Systems Project Planner,2,0.035%
Belgium,urban,Data Scientist,3,0.053%
Belgium,urban,Data Security Administrator,2,0.035%
Belgium,urban,Data Security Analyst,1,0.018%
Belgium,urban,Data Storage Specialist,1,0.018%
Belgium,urban,Data Warehouse Analyst,1,0.018%
Belgium,urban,Data Warehouse Specialist,1,0.018%
Belgium,urban,Data Warehousing Manager,2,0.035%
Belgium,urban,Database Administration Associate,2,0.035%
Belgium,urban,Database Architect,1,0.018%
Belgium,urban,Database Consultant,1,0.018%
Belgium,urban,Database Coordinator,1,0.018%
Belgium,urban,Database Designer,2,0.035%
Belgium,urban,Database Development and Administration Project Manager,1,0.018%
Belgium,urban,Database Engineer,2,0.035%
Belgium,urban,Database Management System Specialist (DBMS Specialist),1,0.018%
Belgium,urban,Database Manager,2,0.035%
Belgium,urban,Database Marketing Analyst,1,0.018%
Belgium,urban,Database Security Administrator,1,0.018%
Belgium,urban,Database Tester,2,0.035%
Belgium,urban,Director of Data Operations,2,0.035%
Belgium,urban,Flight Data Technician,1,0.018%
Belgium,urban,Geographic Information Systems Data Manager (GIS Data Manager),2,0.035%
Belgium,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),2,0.035%
Belgium,urban,Head of Information Systems and Data Processing,1,0.018%
Belgium,urban,Health Data Analyst,1,0.018%
Belgium,urban,Marketing Database Analyst,1,0.018%
Belgium,urban,Oracle Database Administrator (Oracle DBA),1,0.018%
Belgium,urban,Reference Data Expert,1,0.018%
Belgium,urban,SQL Database Administrator,1,0.018%
Bulgaria,non-urban,Data Management Information Technology Specialist,1,0.018%
Bulgaria,non-urban,Data Processing Auditor,1,0.018%
Bulgaria,non-urban,Database Tester,1,0.018%
Bulgaria,non-urban,Geographic Information Systems Data Manager (GIS Data Manager),1,0.018%
Bulgaria,non-urban,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",1,0.018%
Bulgaria,urban,Automatic Data Processing Planner,1,0.018%
Bulgaria,urban,Automatic Data Processing Planner (ADP Planner),1,0.018%
Bulgaria,urban,Business Database Analyst,1,0.018%
Bulgaria,urban,Clinical Data Management Associate Director,1,0.018%
Bulgaria,urban,Clinical Data Manager,1,0.018%
Bulgaria,urban,Computer or Data Processing Systems Consultant,1,0.018%
Bulgaria,urban,Data Abstractor,1,0.018%
Bulgaria,urban,Data Administrator,2,0.035%
Bulgaria,urban,Data Architect,2,0.035%
Bulgaria,urban,Data Base Design Analyst,1,0.018%
Bulgaria,urban,Data Center Manager,1,0.018%
Bulgaria,urban,Data Center Operator,1,0.018%
Bulgaria,urban,Data Communications Analyst,1,0.018%
Bulgaria,urban,Data Compiler,1,0.018%
Bulgaria,urban,Data Control Assistant,1,0.018%
Bulgaria,urban,Data Coordinator,1,0.018%
Bulgaria,urban,Data Management Associate,1,0.018%
Bulgaria,urban,Data Miner,2,0.035%
Bulgaria,urban,Data Modeling Specialist,1,0.018%
Bulgaria,urban,Data Officer,1,0.018%
Bulgaria,urban,Data Operations Director,1,0.018%
Bulgaria,urban,Data Processing Auditor,1,0.018%
Bulgaria,urban,Data Processing Manager,3,0.053%
Bulgaria,urban,Data Processing Systems Analyst,2,0.035%
Bulgaria,urban,Data Recovery Planner,1,0.018%
Bulgaria,urban,Data Reduction Technician,1,0.018%
Bulgaria,urban,Data Security Administrator,1,0.018%
Bulgaria,urban,Data Security Analyst,1,0.018%
Bulgaria,urban,Data Storage Specialist,1,0.018%
Bulgaria,urban,Data Systems Manager,1,0.018%
Bulgaria,urban,Data Warehouse Architect,3,0.053%
Bulgaria,urban,Data Warehouse Developer,2,0.035%
Bulgaria,urban,Data Warehouse Specialist,5,0.088%
Bulgaria,urban,Data Warehousing Engineer,1,0.018%
Bulgaria,urban,Data Warehousing Specialist,2,0.035%
Bulgaria,urban,Database Administration Associate,2,0.035%
Bulgaria,urban,Database Administration Manager,1,0.018%
Bulgaria,urban,Database Analyst,1,0.018%
Bulgaria,urban,Database Architect,1,0.018%
Bulgaria,urban,Database Consultant,1,0.018%
Bulgaria,urban,Database Coordinator,1,0.018%
Bulgaria,urban,Database Design Analyst,1,0.018%
Bulgaria,urban,Database Designer,2,0.035%
Bulgaria,urban,Database Development Project Manager,1,0.018%
Bulgaria,urban,Database Modeler,2,0.035%
Bulgaria,urban,Database Security Administrator,1,0.018%
Bulgaria,urban,Database Security Expert,1,0.018%
Bulgaria,urban,Database Software Technician,2,0.035%
Bulgaria,urban,Database Tester,1,0.018%
Bulgaria,urban,Director of Data Operations,1,0.018%
Bulgaria,urban,Electronic Data Processing Auditor (EDP Auditor),1,0.018%
Bulgaria,urban,"Engineer, System Electronic Data Processing (Engineer, System EDP)",3,0.053%
Bulgaria,urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Bulgaria,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),4,0.07%
Bulgaria,urban,Geographic Information Systems Database Administrator (GIS Database Administrator),2,0.035%
Bulgaria,urban,Head of Information Systems and Data Processing,3,0.053%
Bulgaria,urban,Internet Database Specialist,4,0.07%
Bulgaria,urban,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",1,0.018%
Bulgaria,urban,SCADA Technician (Supervisory Control and Data Acquisition Technician),1,0.018%
Bulgaria,urban,SQL Database Administrator,2,0.035%
Bulgaria,urban,Survey Data Technician,1,0.018%
Croatia,non-urban,Data Administrator,1,0.018%
Croatia,non-urban,Data Analysis Assistant,1,0.018%
Croatia,non-urban,Data Coordinator,1,0.018%
Croatia,non-urban,Data Security Administrator,1,0.018%
Croatia,non-urban,Data Warehouse Developer,1,0.018%
Croatia,urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.018%
Croatia,urban,Clinical Data Abstractor,1,0.018%
Croatia,urban,Clinical Data Management Associate Director,1,0.018%
Croatia,urban,Computer or Data Processing Systems Consultant,2,0.035%
Croatia,urban,Data Entry Associate,1,0.018%
Croatia,urban,Data Management Associate,1,0.018%
Croatia,urban,Data Management Information Technology Specialist,1,0.018%
Croatia,urban,Data Modeling Specialist,1,0.018%
Croatia,urban,Data Officer,1,0.018%
Croatia,urban,Data Operations Director,1,0.018%
Croatia,urban,Data Processing Manager,1,0.018%
Croatia,urban,Data Processing Systems Project Planner,1,0.018%
Croatia,urban,Data Security Administrator,1,0.018%
Croatia,urban,Data Storage Specialist,2,0.035%
Croatia,urban,Data Systems Manager,2,0.035%
Croatia,urban,Data Warehouse Specialist,1,0.018%
Croatia,urban,Database Coordinator,1,0.018%
Croatia,urban,Database Design Analyst,2,0.035%
Croatia,urban,Database Designer,1,0.018%
Croatia,urban,Database Engineer,1,0.018%
Croatia,urban,Database Modeler,2,0.035%
Croatia,urban,Database Security Administrator,3,0.053%
Croatia,urban,Database Security Expert,1,0.018%
Croatia,urban,Database Specialist,1,0.018%
Croatia,urban,Database Tester,1,0.018%
Croatia,urban,Electronic Data Interchange System Developer (EDI System Developer),1,0.018%
Croatia,urban,"Engineer, System Electronic Data Processing (Engineer, System EDP)",1,0.018%
Croatia,urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Croatia,urban,Geographic Information Systems Data Manager (GIS Data Manager),2,0.035%
Croatia,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),2,0.035%
Croatia,urban,Geographic Information Systems Database Administrator (GIS Database Administrator),1,0.018%
Croatia,urban,Head of Information Systems and Data Processing,1,0.018%
Croatia,urban,Internet Database Specialist,2,0.035%
Croatia,urban,"Operations Officer, Afloat (Naval Tactical Data Systems)",1,0.018%
Cyprus,urban,Clinical Trials Data Coordinator,1,0.018%
Cyprus,urban,Data Communications Analyst,1,0.018%
Cyprus,urban,Data Management Associate,1,0.018%
Cyprus,urban,Data Modeling Specialist,1,0.018%
Cyprus,urban,Data Systems Manager,1,0.018%
Cyprus,urban,Data Warehousing Specialist,1,0.018%
Cyprus,urban,Database Administrator (DBA),1,0.018%
Cyprus,urban,Head of Information Systems and Data Processing,1,0.018%
Czechia,non-urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),2,0.035%
Czechia,non-urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.018%
Czechia,non-urban,Computer or Data Processing Systems Consultant,1,0.018%
Czechia,non-urban,Data Acquisition Technician,1,0.018%
Czechia,non-urban,Data Architect,1,0.018%
Czechia,non-urban,Data Collection Technician,1,0.018%
Czechia,non-urban,Data Entry Machine Operator,1,0.018%
Czechia,non-urban,Data Management Associate,1,0.018%
Czechia,non-urban,Data Miner,1,0.018%
Czechia,non-urban,Data Operations Director,1,0.018%
Czechia,non-urban,Data Processing Mechanic,1,0.018%
Czechia,non-urban,Data Processing Systems Analyst,1,0.018%
Czechia,non-urban,Data Processing Systems Project Planner,2,0.035%
Czechia,non-urban,Data Scientist,1,0.018%
Czechia,non-urban,Data Storage Specialist,2,0.035%
Czechia,non-urban,Data Systems Manager,1,0.018%
Czechia,non-urban,Data Warehouse Architect,1,0.018%
Czechia,non-urban,Database Administrator (DBA),1,0.018%
Czechia,non-urban,Database Architect,1,0.018%
Czechia,non-urban,Database Development Project Manager,1,0.018%
Czechia,non-urban,Database Development and Administration Project Manager,1,0.018%
Czechia,non-urban,Database Engineer,1,0.018%
Czechia,non-urban,Database Security Administrator,1,0.018%
Czechia,non-urban,Database Software Technician,1,0.018%
Czechia,non-urban,Databases Software Consultant,1,0.018%
Czechia,non-urban,Flight Test Data Acquisition Technician,1,0.018%
Czechia,non-urban,GPS Field Data Collector (Global Positioning System Field Data Collector),1,0.018%
Czechia,non-urban,Geographic Information Systems Database Administrator (GIS Database Administrator),1,0.018%
Czechia,non-urban,Naval Tactical Data System--Combat Information Center Officer,1,0.018%
Czechia,non-urban,Oracle Database Administrator (Oracle DBA),1,0.018%
Czechia,urban,Automatic Data Processing Planner,2,0.035%
Czechia,urban,Automatic Data Processing Planner (ADP Planner),1,0.018%
Czechia,urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),2,0.035%
Czechia,urban,Clinical Data Coordinator,1,0.018%
Czechia,urban,Computer or Data Processing Systems Consultant,2,0.035%
Czechia,urban,Data Administrator,2,0.035%
Czechia,urban,Data Architect,1,0.018%
Czechia,urban,Data Center Operator,1,0.018%
Czechia,urban,Data Communications Analyst,1,0.018%
Czechia,urban,Data Communications Software Consultant,1,0.018%
Czechia,urban,Data Control Assistant,1,0.018%
Czechia,urban,Data Coordinator,1,0.018%
Czechia,urban,Data Entry Specialist,1,0.018%
Czechia,urban,Data Keyer,1,0.018%
Czechia,urban,Data Management Information Technology Specialist,1,0.018%
Czechia,urban,Data Manager,1,0.018%
Czechia,urban,Data Modeling Specialist,2,0.035%
Czechia,urban,Data Officer,4,0.07%
Czechia,urban,Data Operations Director,2,0.035%
Czechia,urban,Data Processing Auditor,1,0.018%
Czechia,urban,Data Processing Auxiliary Equipment Operator,1,0.018%
Czechia,urban,Data Processing Equipment Repairer,1,0.018%
Czechia,urban,Data Processing Manager,1,0.018%
Czechia,urban,Data Processing Services Sales Representative,1,0.018%
Czechia,urban,Data Processing Systems Analyst,2,0.035%
Czechia,urban,Data Sciences Director,1,0.018%
Czechia,urban,Data Security Analyst,2,0.035%
Czechia,urban,Data Storage Specialist,1,0.018%
Czechia,urban,Data Technician,1,0.018%
Czechia,urban,Data Warehouse Analyst,2,0.035%
Czechia,urban,Data Warehouse Architect,1,0.018%
Czechia,urban,Data Warehouse Developer,1,0.018%
Czechia,urban,Data Warehousing Engineer,1,0.018%
Czechia,urban,Data Warehousing Manager,2,0.035%
Czechia,urban,Data Warehousing Specialist,1,0.018%
Czechia,urban,Database Administration Associate,1,0.018%
Czechia,urban,Database Architect,1,0.018%
Czechia,urban,Database Consultant,3,0.053%
Czechia,urban,Database Coordinator,2,0.035%
Czechia,urban,Database Designer,1,0.018%
Czechia,urban,Database Engineer,2,0.035%
Czechia,urban,Database Management System Specialist (DBMS Specialist),1,0.018%
Czechia,urban,Database Marketing Analyst,1,0.018%
Czechia,urban,Database Security Administrator,2,0.035%
Czechia,urban,Database Security Expert,2,0.035%
Czechia,urban,Database Software Technician,2,0.035%
Czechia,urban,Database Specialist,1,0.018%
Czechia,urban,Database Tester,2,0.035%
Czechia,urban,Databases Computer Consultant,2,0.035%
Czechia,urban,Director of Data Operations,3,0.053%
Czechia,urban,Electronic Data Processing Auditor (EDP Auditor),1,0.018%
Czechia,urban,"Engineer, System Electronic Data Processing (Engineer, System EDP)",1,0.018%
Czechia,urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Czechia,urban,Geographic Information Systems Data Manager (GIS Data Manager),1,0.018%
Czechia,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),2,0.035%
Czechia,urban,Geographic Information Systems Database Administrator (GIS Database Administrator),1,0.018%
Czechia,urban,Head of Information Systems and Data Processing,3,0.053%
Czechia,urban,Health Data Analyst,1,0.018%
Czechia,urban,Internet Database Specialist,4,0.07%
Czechia,urban,Maintenance Data Analyst,1,0.018%
Czechia,urban,Marketing Database Analyst,1,0.018%
Czechia,urban,Micro Computer Data Processor,1,0.018%
Czechia,urban,"Naval Tactical Data System--Combat Information Center Watch Officer, General",1,0.018%
Czechia,urban,Oracle Database Administrator (Oracle DBA),2,0.035%
Czechia,urban,SCADA Technician (Supervisory Control and Data Acquisition Technician),1,0.018%
Czechia,urban,SQL Database Administrator,1,0.018%
Denmark,non-urban,Automatic Data Processing Planner,1,0.018%
Denmark,non-urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.018%
Denmark,non-urban,Clinical Data Manager,1,0.018%
Denmark,non-urban,Data Architect,1,0.018%
Denmark,non-urban,Data Communications Software Consultant,1,0.018%
Denmark,non-urban,Data Keyer,1,0.018%
Denmark,non-urban,Data Officer,1,0.018%
Denmark,non-urban,Data Warehouse Analyst,1,0.018%
Denmark,non-urban,Data Warehouse Architect,1,0.018%
Denmark,non-urban,Data Warehouse Specialist,1,0.018%
Denmark,non-urban,Data Warehousing Specialist,1,0.018%
Denmark,non-urban,Database Coordinator,1,0.018%
Denmark,non-urban,Database Engineer,1,0.018%
Denmark,non-urban,Database Management System Specialist (DBMS Specialist),1,0.018%
Denmark,non-urban,Database Security Expert,1,0.018%
Denmark,non-urban,Internet Database Specialist,1,0.018%
Denmark,non-urban,Survey Data Technician,1,0.018%
Denmark,urban,Automatic Data Processing Planner,1,0.018%
Denmark,urban,Automatic Data Processing Planner (ADP Planner),2,0.035%
Denmark,urban,Data Base Design Analyst,1,0.018%
Denmark,urban,Data Communications Software Consultant,3,0.053%
Denmark,urban,Data Coordinator,2,0.035%
Denmark,urban,Data Management Information Technology Specialist,1,0.018%
Denmark,urban,Data Manager,1,0.018%
Denmark,urban,Data Officer,3,0.053%
Denmark,urban,Data Operations Director,1,0.018%
Denmark,urban,Data Processing Auditor,1,0.018%
Denmark,urban,Data Processing Consultant,2,0.035%
Denmark,urban,Data Processing Manager,1,0.018%
Denmark,urban,Data Scientist,1,0.018%
Denmark,urban,Data Storage Specialist,2,0.035%
Denmark,urban,Data Systems Manager,1,0.018%
Denmark,urban,Data Transcriber,1,0.018%
Denmark,urban,Data Typist,1,0.018%
Denmark,urban,Data Warehouse Architect,1,0.018%
Denmark,urban,Data Warehouse Developer,1,0.018%
Denmark,urban,Database Administration Associate,1,0.018%
Denmark,urban,Database Consultant,1,0.018%
Denmark,urban,Database Coordinator,1,0.018%
Denmark,urban,Database Designer,1,0.018%
Denmark,urban,Database Development and Administration Project Manager,2,0.035%
Denmark,urban,Database Management System Specialist (DBMS Specialist),1,0.018%
Denmark,urban,Database Modeler,1,0.018%
Denmark,urban,Database Security Expert,1,0.018%
Denmark,urban,Database Specialist,3,0.053%
Denmark,urban,Database Tester,2,0.035%
Denmark,urban,Databases Computer Consultant,1,0.018%
Denmark,urban,Director of Data Operations,1,0.018%
Denmark,urban,Electronic Data Interchange System Developer (EDI System Developer),2,0.035%
Denmark,urban,Electronic Data Processing Auditor (EDP Auditor),1,0.018%
Denmark,urban,Field Traffic Data Technician,1,0.018%
Denmark,urban,Health Data Analyst,1,0.018%
Denmark,urban,Medical Data Analyst,1,0.018%
Denmark,urban,Oracle Database Administrator (Oracle DBA),3,0.053%
Denmark,urban,SQL Database Administrator,1,0.018%
Denmark,urban,Survey Data Technician,1,0.018%
Estonia,urban,Data Base Design Analyst,1,0.018%
Estonia,urban,Data Collection Technician,1,0.018%
Estonia,urban,Data Entry Supervisor,1,0.018%
Estonia,urban,Data Management Information Technology Specialist,1,0.018%
Estonia,urban,Data Operations Director,1,0.018%
Estonia,urban,Data Processing Supervisor,1,0.018%
Estonia,urban,Database Administration Manager,1,0.018%
Estonia,urban,Database Manager,1,0.018%
Estonia,urban,Director of Data Operations,1,0.018%
Estonia,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),1,0.018%
Finland,non-urban,Computer or Data Processing Systems Consultant,1,0.018%
Finland,non-urban,Data Architect,1,0.018%
Finland,non-urban,Data Officer,1,0.018%
Finland,non-urban,Data Processing Systems Analyst,1,0.018%
Finland,non-urban,Data Scientist,1,0.018%
Finland,non-urban,Data Storage Specialist,1,0.018%
Finland,non-urban,Data Warehousing Manager,1,0.018%
Finland,non-urban,Data Warehousing Specialist,1,0.018%
Finland,non-urban,Databases Computer Consultant,1,0.018%
Finland,non-urban,Field Artillery Automated Tactical Data System Specialist,1,0.018%
Finland,non-urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Finland,non-urban,Geographic Information Systems Data Manager (GIS Data Manager),1,0.018%
Finland,non-urban,Internet Database Specialist,1,0.018%
Finland,urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.018%
Finland,urban,Automatic Data Processing Planner (ADP Planner),1,0.018%
Finland,urban,Clinical Data Management Manager (CDM Manager),1,0.018%
Finland,urban,Computer or Data Processing Systems Consultant,1,0.018%
Finland,urban,Data Administrator,1,0.018%
Finland,urban,Data Analysis Assistant,1,0.018%
Finland,urban,Data Collection Technician,1,0.018%
Finland,urban,Data Communications Analyst,1,0.018%
Finland,urban,Data Coordinator,3,0.053%
Finland,urban,Data Entry Representative,1,0.018%
Finland,urban,Data Management Information Technology Specialist,1,0.018%
Finland,urban,Data Manager,1,0.018%
Finland,urban,Data Modeling Specialist,2,0.035%
Finland,urban,Data Officer,2,0.035%
Finland,urban,Data Operations Director,1,0.018%
Finland,urban,Data Processing Auditor,2,0.035%
Finland,urban,Data Processing Consultant,1,0.018%
Finland,urban,Data Processing Manager,1,0.018%
Finland,urban,Data Processing Mechanic,1,0.018%
Finland,urban,Data Reduction Technician,2,0.035%
Finland,urban,Data Security Analyst,1,0.018%
Finland,urban,Data Transcriber,1,0.018%
Finland,urban,Data Warehouse Developer,1,0.018%
Finland,urban,Data Warehousing Engineer,1,0.018%
Finland,urban,Database Administration Associate,1,0.018%
Finland,urban,Database Administration Manager,3,0.053%
Finland,urban,Database Consultant,1,0.018%
Finland,urban,Database Coordinator,1,0.018%
Finland,urban,Database Development Project Manager,1,0.018%
Finland,urban,Database Development and Administration Project Manager,1,0.018%
Finland,urban,Database Manager,1,0.018%
Finland,urban,Database Marketing Analyst,3,0.053%
Finland,urban,Database Software Technician,2,0.035%
Finland,urban,Database Specialist,1,0.018%
Finland,urban,Database Tester,2,0.035%
Finland,urban,Databases Computer Consultant,1,0.018%
Finland,urban,Databases Software Consultant,1,0.018%
Finland,urban,Datastage Developer,1,0.018%
Finland,urban,Director of Data Operations,2,0.035%
Finland,urban,Electronic Data Processing Auditor (EDP Auditor),2,0.035%
Finland,urban,Geographic Information Systems Data Administrator (GIS Data Administrator),1,0.018%
Finland,urban,Geographic Information Systems Data Specialist (GIS Data Specialist),3,0.053%
Finland,urban,Naval Tactical Data System--Combat Information Center Officer,1,0.018%
Finland,urban,Oracle Database Administrator (Oracle DBA),2,0.035%
Finland,urban,SCADA Technician (Supervisory Control and Data Acquisition Technician),1,0.018%
France,non-urban,Automatic Data Processing Customer Liaison (ADP Customer Liaison),4,0.07%
France,non-urban,Automatic Data Processing Planner,5,0.088%
France,non-urban,Automatic Data Processing Planner (ADP Planner),2,0.035%
France,non-urban,Automatic Data Processing Systems Security Specialist (ADP Systems Security),5,0.088%
France,non-urban,Business Database Analyst,2,0.035%
France,non-urban,Clinical Data Coordinator,1,0.018%
France,non-urban,Clinical Data Management Associate Director,1,0.018%
France,non-urban,Clinical Data Management Manager (CDM Manager),2,0.035%
France,non-urban,Computer or Data Processing Systems Consultant,6,0.105%
France,non-urban,Data Administrator,3,0.053%
France,non-urban,Data Architect,6,0.105%
France,non-urban,Data Base Design Analyst,3,0.053%
France,non-urban,Data Collection Technician,1,0.018%
France,non-urban,Data Communications Analyst,2,0.035%
France,non-urban,Data Communications Software Consultant,2,0.035%
France,non-urban,Data Communications Technician,3,0.053%
France,non-urban,Data Coordinator,6,0.105%
France,non-urban,Data Entry Clerk,1,0.018%
France,non-urban,Data Entry Machine Operator,1,0.018%
France,non-urban,Data Entry Representative,1,0.018%
France,non-urban,Data Entry Specialist,1,0.018%
France,non-urban,Data Management Associate,7,0.123%
France,non-urban,Data Management Information Technology Specialist,2,0.035%
France,non-urban,Data Manager,1,0.018%
France,non-urban,Data Miner,6,0.105%
France,non-urban,Data Modeling Specialist,2,0.035%
France,non-urban,Data Officer,5,0.088%
