uuid,country_code,habitat,education_level,normalized_job_code,gender,age,age_group,title,normalized_job_title,country_l
73771070-d8ec-0133-ae53-0a81e8b09a82,BE,urban,high,edc64316da9707432443c7a4461abe6c,male,40 years old,40_65,Data Security Administrator,data security administrator,Belgium
3aa979b0-d93d-0133-c00b-0a81e8b09a82,BE,non-urban,medium,847165cfda6b1dc82ae22b967da8af2f,male,42 years old,40_65,Data Warehouse Developer,data warehouse developer,Belgium
11c6e300-deb8-0133-5b60-0a81e8b09a82,BE,urban,high,5e93fd1a58c8a67b295f69d87d1a940d,female,52 years old,40_65,Geographic Information Systems Data Manager (GIS Data Manager),geographic information systems data manager gis data manager,Belgium
ed7e4bd0-d987-0133-3f9e-0a81e8b09a82,BE,non-urban,high,6cf4d336112984368f83181ac5ffe948,male,16 years old,14_25,Health Data Analyst,health data analyst,Belgium
b5d05310-db4b-0133-8b2f-0a81e8b09a82,BE,non-urban,high,e2f68bf748aea2c7d2254550c0c92b23,female,35 years old,26_39,Director of Data Operations,director of data operations,Belgium
121a3240-da4d-0133-f0f0-0a81e8b09a82,BE,urban,low,07b7555fa790debaf5b04d1409ad5f11,male,22 years old,14_25,Database Security Administrator,database security administrator,Belgium
4d9509f0-da6a-0133-09b5-0a81e8b09a82,BE,non-urban,medium,d4624ed8068d24948e18303212593cd6,female,37 years old,26_39,Data Architect,data architect,Belgium
8dfcc530-db0e-0133-8410-0a81e8b09a82,BE,urban,high,,female,23 years old,14_25,,,Belgium
048fbb80-dc5a-0133-a54f-0a81e8b09a82,BE,non-urban,no,,female,51 years old,40_65,,,Belgium
ca337e10-da5d-0133-641c-0a81e8b09a82,BE,urban,medium,,male,35 years old,26_39,,,Belgium
2cc5e840-d934-0133-4268-0a81e8b09a82,BE,non-urban,low,,male,53 years old,40_65,,,Belgium
4eaae960-da52-0133-f491-0a81e8b09a82,BE,urban,medium,,female,24 years old,14_25,,,Belgium
d9175790-dc02-0133-8239-0a81e8b09a82,BE,urban,,,female,62 years old,40_65,,,Belgium
ba68f010-da39-0133-ede7-0a81e8b09a82,BE,urban,medium,1a281bf4bd1fe9b2a6e464e508bea167,male,46 years old,40_65,Data Storage Specialist,data storage specialist,Belgium
31d510e0-dc3d-0133-6587-0a81e8b09a82,BE,urban,low,5db2c8d6539f983e1ca3d7c5b939e190,male,54 years old,40_65,Database Administration Associate,database administration associate,Belgium
279391e0-d8bb-0133-07fa-0a81e8b09a82,BE,non-urban,medium,,female,44 years old,40_65,,,Belgium
e3950230-dd3f-0133-216f-0a81e8b09a82,BE,urban,high,,female,32 years old,26_39,,,Belgium
28c237e0-da4c-0133-533b-0a81e8b09a82,BE,urban,medium,,female,19 years old,14_25,,,Belgium
902829b0-de49-0133-6b2f-0a81e8b09a82,BE,non-urban,no,800b621aab5dac18f4caef621fa43a49,female,42 years old,40_65,Data Systems Manager,data systems manager,Belgium
c46dd5d0-daf5-0133-326e-0a81e8b09a82,BE,urban,high,2f704538f6c9d6459a97314be98124e2,female,31 years old,26_39,Data Collector,data collector,Belgium
674d27f0-db16-0133-e93d-0a81e8b09a82,BE,urban,,,female,14 years old,14_25,,,Belgium
e2999ae0-dad7-0133-12f2-0a81e8b09a82,BE,urban,medium,,female,30 years old,26_39,,,Belgium
482c72f0-d902-0133-c73e-0a81e8b09a82,BE,non-urban,low,,female,41 years old,40_65,,,Belgium
9a2478d0-da5f-0133-c83a-0a81e8b09a82,BE,urban,low,d4624ed8068d24948e18303212593cd6,male,32 years old,26_39,Data Architect,data architect,Belgium
8034c360-db44-0133-8ef7-0a81e8b09a82,BE,urban,low,,female,16 years old,14_25,,,Belgium
88424430-defa-0133-0f5f-0a81e8b09a82,BE,non-urban,high,edc64316da9707432443c7a4461abe6c,female,40 years old,40_65,Data Security Administrator,data security administrator,Belgium
5e4592b0-de0c-0133-f22f-0a81e8b09a82,BE,non-urban,low,76b0ba6af40991629e20dff36edd02a5,female,40 years old,40_65,Data Management Information Technology Specialist,data management information technology specialist,Belgium
d73155f0-d9ba-0133-fe9f-0a81e8b09a82,BE,non-urban,no,04c82eae29e1c4a30eac0710b74ab276,female,26 years old,26_39,Database Marketing Analyst,database marketing analyst,Belgium
1926eaf0-dd85-0133-d85d-0a81e8b09a82,BE,non-urban,no,,female,44 years old,40_65,,,Belgium
52a3acf0-da6f-0133-e888-0a81e8b09a82,BE,urban,low,a4d5b8b38f9513825d0d94a981ebe962,female,28 years old,26_39,Database Manager,database manager,Belgium
411d4bc0-deef-0133-795b-0a81e8b09a82,BE,non-urban,medium,,female,40 years old,40_65,,,Belgium
154739b0-dced-0133-c4db-0a81e8b09a82,BE,urban,high,3161063d378eecc4581c5cdee46a2a6c,male,40 years old,40_65,Head of Information Systems and Data Processing,head of information systems and data processing,Belgium
10e5df00-dd3a-0133-0ead-0a81e8b09a82,BE,non-urban,medium,781f5d3a80812531fdc81125a527a626,female,36 years old,26_39,Data Warehouse Specialist,data warehouse specialist,Belgium
a5396df0-d98e-0133-f2a3-0a81e8b09a82,BE,urban,high,781f5d3a80812531fdc81125a527a626,female,36 years old,26_39,Data Warehouse Specialist,data warehouse specialist,Belgium
a5355130-da8c-0133-c7ee-0a81e8b09a82,BE,urban,medium,,female,19 years old,14_25,,,Belgium
39d48260-dd36-0133-0358-0a81e8b09a82,BE,urban,high,38a15ceadcdd6d4db16a88fa1a72b083,female,45 years old,40_65,Data Warehouse Analyst,data warehouse analyst,Belgium
b63ed850-dcb8-0133-8926-0a81e8b09a82,BE,urban,medium,5e93fd1a58c8a67b295f69d87d1a940d,male,25 years old,juvenile,Geographic Information Systems Data Manager (GIS Data Manager),geographic information systems data manager gis data manager,Belgium
1afd0e10-d9ae-0133-8d6b-0a81e8b09a82,BE,non-urban,,,female,15 years old,14_25,,,Belgium
f4824dd0-dafa-0133-a87a-0a81e8b09a82,BE,urban,no,,female,23 years old,juvenile,,,Belgium
4e1ac160-d982-0133-758d-0a81e8b09a82,BE,urban,low,e55556364d2096578fd153e9800e826f,male,33 years old,26_39,Database Consultant,database consultant,Belgium
96c62760-d8d4-0133-62ed-0a81e8b09a82,BE,non-urban,,d24ffac92c24fb0e7bd1abc5fc3b6254,male,44 years old,40_65,Data Manager,data manager,Belgium
fd9e7290-dad7-0133-1337-0a81e8b09a82,BE,urban,high,edc64316da9707432443c7a4461abe6c,female,27 years old,26_39,Data Security Administrator,data security administrator,Belgium
2b4a10d0-db2d-0133-d818-0a81e8b09a82,BE,urban,,,male,43 years old,40_65,,,Belgium
c9337360-db95-0133-d531-0a81e8b09a82,BE,urban,high,b24ece3300d2f8ab34f9553e531183d6,male,40 years old,40_65,Data Processing Systems Project Planner,data processing systems project planner,Belgium
c75ffdb0-d95d-0133-765b-0a81e8b09a82,BE,urban,high,04c82eae29e1c4a30eac0710b74ab276,female,45 years old,40_65,Database Marketing Analyst,database marketing analyst,Belgium
